"iditem_liquidacion_final"|"fecha_creado"|"creado_por"|"orden"|"descripcion"|"comprobante_nro"|"total_guarani"|"sin_iva"|"solo_iva"|"fk_idliquidacion_final"|"fk_idcomprobante_liquidacion"
1756|"2022-06-29 10:36:48.433"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0076815"|57458|52234|5223|93|11
1757|"2022-06-29 10:36:48.439"|"5-Angel Rios "|12|"VISACION DCTOS MRE"|"4216195"|440255|440255|0|93|15
1758|"2022-06-29 10:36:48.444"|"5-Angel Rios "|13|"CDAP/ANNP"|"001-024-0123243"|10000|9090|909|93|10
1759|"2022-06-29 10:36:48.45"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002020"|9528460|8662236|866223|93|16
1760|"2022-06-29 10:36:48.455"|"5-Angel Rios "|15|"MIPYMES MIC"|"1853451"|620757|620357|400|93|22
1761|"2022-06-29 10:36:48.463"|"5-Angel Rios "|16|"APORTE VUE"|"1853452"|73188|72788|400|93|23
1762|"2022-06-29 11:20:26.18"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04012849T"|0|0|0|94|2
1763|"2022-06-29 11:20:26.191"|"5-Angel Rios "|2|"INDI"|"22005IC04012849T"|14420|14420|0|94|3
1764|"2022-06-29 11:20:26.198"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04012849T"|2853767|2853767|0|94|5
1765|"2022-06-29 11:20:26.2"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22005IC04012849T"|2295310|2295310|0|94|7
1766|"2022-06-29 11:20:26.208"|"5-Angel Rios "|5|"I.V.A."|"22005IC04012849T"|57382762|0|57382762|94|8
1767|"2022-06-29 11:20:26.212"|"5-Angel Rios "|6|"TASA INTER. ADUAN."|"22005IC04012849T"|342965|342965|0|94|24
1768|"2022-06-29 11:20:26.216"|"5-Angel Rios "|7|"CANON INFORMATICO"|"4216160"|220127|220127|0|94|9
1769|"2022-06-29 11:20:26.225"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-0017883"|70000|63636|6363|94|12
1770|"2022-06-29 11:20:26.229"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0015029"|3266203|2969275|296927|94|14
1771|"2022-06-29 11:20:26.233"|"5-Angel Rios "|10|"CDAP/ANNP"|"001-025-0129580"|6858|6234|623|94|10
1772|"2022-06-29 11:20:26.24"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0077361"|80655|73322|7332|94|11
1773|"2022-06-29 11:20:26.247"|"5-Angel Rios "|12|"VISACION DCTOS MRE"|"4216195"|440255|440255|0|94|15
1774|"2022-06-29 11:20:26.254"|"5-Angel Rios "|13|"CDAP/ANNP"|"001-024-0123244"|10000|9090|909|94|10
1775|"2022-06-29 11:20:26.262"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002021"|10028986|9117260|911726|94|16
1776|"2022-06-29 11:20:26.268"|"5-Angel Rios "|15|"MIPYMES MIC"|"1853451"|620757|620357|400|94|22
1777|"2022-06-29 11:20:26.273"|"5-Angel Rios "|16|"APORTE VUE"|"1853452"|73188|72788|400|94|23
1778|"2022-06-29 11:20:26.278"|"5-Angel Rios "|17|"MIPYMES MIC"|"1820501"|620757|620357|400|94|22
1779|"2022-06-29 11:20:26.283"|"5-Angel Rios "|18|"APORTE VUE"|"1820502"|72866|72466|400|94|23
1780|"2022-06-29 11:43:16.824"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04012780N"|0|0|0|95|2
1781|"2022-06-29 11:43:16.828"|"5-Angel Rios "|2|"INDI"|"22005IC04012780N"|14420|14420|0|95|3
1782|"2022-06-29 11:43:16.837"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04012780N"|2095393|2095393|0|95|5
1783|"2022-06-29 11:43:16.841"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22005IC04012780N"|1685578|1685578|0|95|7
1784|"2022-06-29 11:43:16.845"|"5-Angel Rios "|5|"I.V.A."|"22005IC04012780N"|42139451|0|42139451|95|8
1785|"2022-06-29 11:43:16.851"|"5-Angel Rios "|6|"TASA INTER. ADUAN."|"22005IC04012780N"|343339|343339|0|95|24
1786|"2022-06-29 11:43:16.853"|"5-Angel Rios "|7|"CANON INFORMATICO"|"4216154"|220127|220127|0|95|9
1787|"2022-06-29 11:43:16.86"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-0017885"|70000|63636|6363|95|12
1788|"2022-06-29 11:43:16.864"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0014758"|2298331|2089391|208939|95|14
1789|"2022-06-29 11:43:16.868"|"5-Angel Rios "|10|"CDAP/ANNP"|"001-025-0129030"|6866|6241|624|95|10
1790|"2022-06-29 11:43:16.874"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0076815"|57458|52234|5223|95|11
1791|"2022-06-29 11:43:16.878"|"5-Angel Rios "|12|"VISACION DCTOS MRE"|"4216180"|440255|440255|0|95|15
1792|"2022-06-29 11:43:16.88"|"5-Angel Rios "|13|"CDAP/ANNP"|"001-024-0123243"|10000|9090|909|95|10
1793|"2022-06-29 11:43:16.888"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002022"|8428460|7662236|766223|95|16
1794|"2022-06-29 11:43:16.893"|"5-Angel Rios "|15|"MIPYMES MIC"|"1853442"|620757|620357|400|95|22
1795|"2022-06-29 11:43:16.896"|"5-Angel Rios "|16|"APORTE VUE"|"1853443"|73188|72788|400|95|23
1796|"2022-06-29 13:19:54.838"|"5-Angel Rios "|1|"INDI"|"22031IC04004017G"|61636|61636|0|96|3
1797|"2022-06-29 13:19:54.885"|"5-Angel Rios "|2|"I.S.C."|"22031IC04004017G"|282360|282360|0|96|4
1798|"2022-06-29 13:19:54.913"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22031IC04004017G"|135790|135790|0|96|5
1799|"2022-06-29 13:19:54.93"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22031IC04004017G"|114073|114073|0|96|7
1800|"2022-06-29 13:19:54.946"|"5-Angel Rios "|5|"I.V.A. TURISMO "|"22031IC04004017G"|285184|0|285184|96|26
1801|"2022-06-29 13:19:54.958"|"5-Angel Rios "|6|"TASA INTER. ADUAN."|"22031IC04004017G"|343339|343339|0|96|24
1802|"2022-06-29 13:19:54.98"|"5-Angel Rios "|7|"CDAP PAGOS"|"001-024-0123480"|10000|9090|909|96|27
1803|"2022-06-29 13:19:55.001"|"5-Angel Rios "|8|"CANON INFORMATICO"|"4218489"|93051|93051|0|96|9
1804|"2022-06-29 13:19:55.062"|"5-Angel Rios "|9|"VISACION DCTOS"|"4218486"|880510|880510|0|96|15
1805|"2022-06-29 13:19:55.067"|"5-Angel Rios "|10|"FOTOCOPIAS"|"022-002-0005003"|25550|23227|2322|96|12
1806|"2022-06-29 13:19:55.072"|"5-Angel Rios "|11|"TASA PORTUARIA"|"2332645"|2289144|2081040|208104|96|14
1807|"2022-06-29 13:19:55.076"|"5-Angel Rios "|12|"HON. DESP. S/ LEY 220/93"|"001-001-0002023"|1210000|1100000|110000|96|16
1808|"2022-06-29 13:19:55.081"|"5-Angel Rios "|13|"GASTO ADMIN."|"0705"|1200000|1200000|0|96|17
1809|"2022-06-29 13:19:55.087"|"5-Angel Rios "|14|"REPOSICION DE GASTOS ADM"|"0706"|650000|650000|0|96|21
1810|"2022-06-29 13:22:52.061"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04012849T"|0|0|0|97|2
1811|"2022-06-29 13:22:52.078"|"5-Angel Rios "|2|"INDI"|"22005IC04012849T"|14420|14420|0|97|3
1812|"2022-06-29 13:22:52.085"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04012849T"|2853767|2853767|0|97|5
1813|"2022-06-29 13:22:52.094"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22005IC04012849T"|2295310|2295310|0|97|7
1814|"2022-06-29 13:22:52.101"|"5-Angel Rios "|5|"I.V.A."|"22005IC04012849T"|57382762|0|57382762|97|8
1815|"2022-06-29 13:22:52.113"|"5-Angel Rios "|6|"TASA INTER. ADUAN."|"22005IC04012849T"|342965|342965|0|97|24
1816|"2022-06-29 13:22:52.12"|"5-Angel Rios "|7|"CANON INFORMATICO"|"4216160"|220127|220127|0|97|9
1817|"2022-06-29 13:22:52.139"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-0017883"|70000|63636|6363|97|12
1818|"2022-06-29 13:22:52.157"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0015029"|3266203|2969275|296927|97|14
1819|"2022-06-29 13:22:52.167"|"5-Angel Rios "|10|"CDAP/ANNP"|"001-025-0129580"|6858|6234|623|97|10
1820|"2022-06-29 13:22:52.177"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0077361"|80655|73322|7332|97|11
1821|"2022-06-29 13:22:52.189"|"5-Angel Rios "|12|"VISACION DCTOS MRE"|"4216195"|440255|440255|0|97|15
1822|"2022-06-29 13:22:52.197"|"5-Angel Rios "|13|"CDAP/ANNP"|"001-024-0123244"|10000|9090|909|97|10
1823|"2022-06-29 13:22:52.214"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002021"|10028986|9117260|911726|97|16
1824|"2022-06-29 13:22:52.242"|"5-Angel Rios "|15|"MIPYMES MIC"|"1853451"|620757|620357|400|97|22
1825|"2022-06-29 13:22:52.249"|"5-Angel Rios "|16|"APORTE VUE"|"1853452"|73188|72788|400|97|23
1826|"2022-06-29 13:22:52.269"|"5-Angel Rios "|17|"MIPYMES MIC"|"1820501"|620757|620357|400|97|22
1827|"2022-06-29 13:22:52.277"|"5-Angel Rios "|18|"APORTE VUE"|"1820502"|72866|72466|400|97|23
1828|"2022-06-29 13:26:43.167"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04012780N"|0|0|0|98|2
1829|"2022-06-29 13:26:43.172"|"5-Angel Rios "|2|"INDI"|"22005IC04012780N"|14420|14420|0|98|3
1830|"2022-06-29 13:26:43.178"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22005IC04012780N"|2095393|2095393|0|98|5
1831|"2022-06-29 13:26:43.182"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22005IC04012780N"|1685578|1685578|0|98|7
1832|"2022-06-29 13:26:43.192"|"5-Angel Rios "|5|"I.V.A."|"22005IC04012780N"|42139451|0|42139451|98|8
1833|"2022-06-29 13:26:43.197"|"5-Angel Rios "|6|"TASA INTER. ADUAN."|"22005IC04012780N"|343339|343339|0|98|24
1834|"2022-06-29 13:26:43.201"|"5-Angel Rios "|7|"CANON INFORMATICO"|"4216154"|220127|220127|0|98|9
1835|"2022-06-29 13:26:43.209"|"5-Angel Rios "|8|"FOTOCOPIAS"|"001-002-0017885"|70000|63636|6363|98|12
1836|"2022-06-29 13:26:43.213"|"5-Angel Rios "|9|"TASA PORTUARIA"|"002-007-0014758"|2298331|2089391|208939|98|14
1837|"2022-06-29 13:26:43.218"|"5-Angel Rios "|10|"CDAP/ANNP"|"001-025-0129030"|6866|6241|624|98|10
1838|"2022-06-29 13:26:43.224"|"5-Angel Rios "|11|"SERVICIOS SOFIA / ANNP"|"001-004-0076815"|57458|52234|5223|98|11
1839|"2022-06-29 13:26:43.229"|"5-Angel Rios "|12|"VISACION DCTOS MRE"|"4216180"|440255|440255|0|98|15
1840|"2022-06-29 13:26:43.23"|"5-Angel Rios "|13|"CDAP/ANNP"|"001-024-0123243"|10000|9090|909|98|10
1841|"2022-06-29 13:26:43.238"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002022"|8428460|7662236|766223|98|16
1842|"2022-06-29 13:26:43.243"|"5-Angel Rios "|15|"MIPYMES MIC"|"1853442"|620757|620357|400|98|22
1843|"2022-06-29 13:26:43.247"|"5-Angel Rios "|16|"APORTE VUE"|"1853443"|73188|72788|400|98|23
1844|"2022-06-29 13:27:46.894"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04012892R"|0|0|0|99|2
1845|"2022-06-29 13:27:46.901"|"5-Angel Rios "|2|"INDI"|"22005IC04012892R"|26950|26950|0|99|3
1846|"2022-06-29 13:27:46.908"|"5-Angel Rios "|3|"I.S.C."|"22005IC04012892R"|0|0|0|99|4
1847|"2022-06-29 13:27:46.912"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04012892R"|1158103|1158103|0|99|5
1848|"2022-06-29 13:27:46.918"|"5-Angel Rios "|5|"IRACIS GENERAL 700"|"22005IC04012892R"|932763|932763|0|99|7
1849|"2022-06-29 13:27:46.923"|"5-Angel Rios "|6|"I.V.A."|"22005IC04012892R"|23319071|0|23319071|99|8
1850|"2022-06-29 13:27:46.927"|"5-Angel Rios "|7|"CANON INFORMATICO"|"4222392"|220127|220127|0|99|9
1851|"2022-06-29 13:27:46.931"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"001-001-0015403"|175000|81818|8182|99|13
1852|"2022-06-29 13:27:46.939"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-002-0017882"|70000|63636|6363|99|12
1853|"2022-06-29 13:27:46.943"|"5-Angel Rios "|10|"TASA PORTUARIA"|"002-007-0015171"|1220690|1109718|110971|99|14
1854|"2022-06-29 13:27:46.947"|"5-Angel Rios "|11|"CDAP/ANNP"|"001-025-0129907"|6858|6234|623|99|10
1855|"2022-06-29 13:27:46.953"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"001-004-0077690"|30517|27742|2774|99|11
1856|"2022-06-29 13:27:46.96"|"5-Angel Rios "|13|"VISACION DCTOS CONSUL"|"2941754/55"|235000|235000|0|99|15
1857|"2022-06-29 13:27:46.965"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002018"|3660913|3328102|332810|99|16
1858|"2022-06-29 13:27:46.97"|"5-Angel Rios "|15|"VISACION DCTOS MRE"|"4222670"|440255|440255|0|99|15
1859|"2022-06-29 13:27:46.978"|"5-Angel Rios "|16|"CDAP/ANNP"|"001-024-0124037"|10000|9090|909|99|10
1860|"2022-06-29 13:41:43.222"|"5-Angel Rios "|1|"INDI"|"22031IC04004017G"|61636|61636|0|100|3
1861|"2022-06-29 13:41:43.231"|"5-Angel Rios "|2|"I.S.C."|"22031IC04004017G"|282360|282360|0|100|4
1862|"2022-06-29 13:41:43.242"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22031IC04004017G"|135790|135790|0|100|5
1863|"2022-06-29 13:41:43.25"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22031IC04004017G"|114073|114073|0|100|7
1864|"2022-06-29 13:41:43.258"|"5-Angel Rios "|5|"I.V.A. TURISMO "|"22031IC04004017G"|285184|0|285184|100|26
1865|"2022-06-29 13:41:43.263"|"5-Angel Rios "|6|"TASA INTER. ADUAN."|"22031IC04004017G"|343339|343339|0|100|24
1866|"2022-06-29 13:41:43.272"|"5-Angel Rios "|7|"CDAP PAGOS"|"001-024-0123480"|10000|9090|909|100|27
1867|"2022-06-29 13:41:43.283"|"5-Angel Rios "|8|"CANON INFORMATICO"|"4218489"|93051|93051|0|100|9
1868|"2022-06-29 13:41:43.292"|"5-Angel Rios "|9|"VISACION DCTOS"|"4218486"|880510|880510|0|100|15
1869|"2022-06-29 13:41:43.3"|"5-Angel Rios "|10|"FOTOCOPIAS"|"022-002-0005003"|25550|23227|2322|100|12
1870|"2022-06-29 13:41:43.308"|"5-Angel Rios "|11|"TASA PORTUARIA"|"2332645"|2289144|2081040|208104|100|14
1871|"2022-06-29 13:41:43.317"|"5-Angel Rios "|12|"HON. DESP. S/ LEY 220/93"|"001-001-0002023"|1210000|1100000|110000|100|16
1872|"2022-06-29 13:41:43.324"|"5-Angel Rios "|13|"GASTO ADMIN."|"0705"|1200000|1200000|0|100|17
1873|"2022-06-29 13:41:43.332"|"5-Angel Rios "|14|"REPOSICION DE GASTOS ADM"|"0706"|650000|650000|0|100|21
1874|"2022-06-30 14:13:38.444"|"5-Angel Rios "|1|"INDI"|"22018EC01001795Y"|0|0|0|101|3
1875|"2022-06-30 14:13:38.452"|"5-Angel Rios "|2|"I.S.C."|"22018EC01001795Y"|0|0|0|101|4
1876|"2022-06-30 14:13:38.459"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22018EC01001795Y"|0|0|0|101|5
1877|"2022-06-30 14:13:38.466"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22018EC01001795Y"|0|0|0|101|7
1878|"2022-06-30 14:13:38.472"|"5-Angel Rios "|5|"I.V.A. TURISMO "|"22018EC01001795Y"|0|0|0|101|26
1879|"2022-06-30 14:13:38.481"|"5-Angel Rios "|6|"CANON INFORMATICO"|"4221767"|220127|220127|0|101|9
1880|"2022-06-30 14:13:38.489"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-001-0008953"|50000|45454|4545|101|12
1881|"2022-06-30 14:13:38.496"|"5-Angel Rios "|8|"TASA MIC"|"1867242"|92451|92051|400|101|29
1882|"2022-06-30 14:13:38.501"|"5-Angel Rios "|9|"TASA UIP"|"002-002-0008139"|88051|88051|0|101|30
1883|"2022-06-30 14:13:38.508"|"5-Angel Rios "|10|"HON. DESP. S/ LEY 220/93"|"001-001-0002024"|3199320|2908472|290847|101|16
1884|"2022-07-04 14:00:11.671"|"5-Angel Rios "|1|"DERECHO ADUANERO"|"22005IC04012892R"|0|0|0|102|2
1885|"2022-07-04 14:00:11.682"|"5-Angel Rios "|2|"INDI"|"22005IC04012892R"|26950|26950|0|102|3
1886|"2022-07-04 14:00:11.689"|"5-Angel Rios "|3|"I.S.C."|"22005IC04012892R"|0|0|0|102|4
1887|"2022-07-04 14:00:11.694"|"5-Angel Rios "|4|"SERVICIO DE VALORACION"|"22005IC04012892R"|1158103|1158103|0|102|5
1888|"2022-07-04 14:00:11.702"|"5-Angel Rios "|5|"IRACIS GENERAL 700"|"22005IC04012892R"|932763|932763|0|102|7
1889|"2022-07-04 14:00:11.71"|"5-Angel Rios "|6|"I.V.A."|"22005IC04012892R"|23319071|0|23319071|102|8
1890|"2022-07-04 14:00:11.717"|"5-Angel Rios "|7|"CANON INFORMATICO"|"4222392"|220127|220127|0|102|9
1891|"2022-07-04 14:00:11.723"|"5-Angel Rios "|8|"APERTURA AG. TRANSP."|"001-001-0015403"|175000|81818|8182|102|13
1892|"2022-07-04 14:00:11.732"|"5-Angel Rios "|9|"FOTOCOPIAS"|"001-002-0017882"|70000|63636|6363|102|12
1893|"2022-07-04 14:00:11.74"|"5-Angel Rios "|10|"TASA PORTUARIA"|"002-007-0015171"|1220690|1109718|110971|102|14
1894|"2022-07-04 14:00:11.745"|"5-Angel Rios "|11|"CDAP/ANNP"|"001-025-0129907"|6858|6234|623|102|10
1895|"2022-07-04 14:00:11.752"|"5-Angel Rios "|12|"SERVICIOS SOFIA / ANNP"|"001-004-0077690"|30517|27742|2774|102|11
1896|"2022-07-04 14:00:11.757"|"5-Angel Rios "|13|"VISACION DCTOS CONSUL"|"2941754/55"|235000|235000|0|102|15
1897|"2022-07-04 14:00:11.772"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002018"|3660913|3328102|332810|102|16
1898|"2022-07-04 14:00:11.785"|"5-Angel Rios "|15|"VISACION DCTOS MRE"|"4222670"|440255|440255|0|102|15
1899|"2022-07-04 14:00:11.801"|"5-Angel Rios "|16|"CDAP/ANNP"|"001-024-0124037"|10000|9090|909|102|10
1900|"2022-07-04 14:40:01.743"|"5-Angel Rios "|1|"INDI"|"22005IC04013105F"|26950|26950|0|103|3
1901|"2022-07-04 14:40:01.757"|"5-Angel Rios "|2|"SERVICIO DE VALORACION"|"22005IC04013105F"|3535217|3535217|0|103|5
1902|"2022-07-04 14:40:01.764"|"5-Angel Rios "|3|"IRACIS GENERAL 700"|"22005IC04013105F"|2843963|2843963|0|103|7
1903|"2022-07-04 14:40:01.772"|"5-Angel Rios "|4|"I.V.A."|"22005IC04013105F"|71099067|0|71099067|103|8
1904|"2022-07-04 14:40:01.787"|"5-Angel Rios "|5|"CANON INFORMATICO"|"4234782"|220127|220127|0|103|9
1905|"2022-07-04 14:40:01.8"|"5-Angel Rios "|6|"APERTURA AG. TRANSP."|"001-001-0015450"|350000|220000|22000|103|13
1906|"2022-07-04 14:40:01.814"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-002-0017896"|70000|63636|6363|103|12
1907|"2022-07-04 14:40:01.821"|"5-Angel Rios "|8|"TASA PORTUARIA"|"002-007-0016000"|3215183|2922893|292289|103|14
1908|"2022-07-04 14:40:01.826"|"5-Angel Rios "|9|"CDAP PAGOS"|"001-025-0131584"|6853|6230|623|103|27
1909|"2022-07-04 14:40:01.83"|"5-Angel Rios "|10|"SERVICIOS SOFIA / ANNP"|"001-004-0079367"|80380|73072|7307|103|11
1910|"2022-07-04 14:40:01.842"|"5-Angel Rios "|11|"VISACION MRE"|"4235000"|440255|440255|0|103|28
1911|"2022-07-04 14:40:01.851"|"5-Angel Rios "|12|"CDAP PAGOS"|"001-024-0125433"|10000|9090|909|103|27
1912|"2022-07-04 14:40:01.858"|"5-Angel Rios "|13|"VISACION CONSUL"|"02945158/59/60"|588000|588000|0|103|15
1913|"2022-07-04 14:40:01.864"|"5-Angel Rios "|14|"HON. DESP. S/ LEY 220/93"|"001-001-0002025"|6095243|5541130|554113|103|16
1914|"2022-07-04 15:14:56.292"|"5-Angel Rios "|1|"INDI"|"22002IC04013323E"|30818|30818|0|104|3
1915|"2022-07-04 15:14:56.3"|"5-Angel Rios "|2|"SERVICIO DE VALORACION"|"22002IC04013323E"|668818|668818|0|104|5
1916|"2022-07-04 15:14:56.308"|"5-Angel Rios "|3|"IRACIS GENERAL 700"|"22002IC04013323E"|539614|539614|0|104|7
1917|"2022-07-04 15:14:56.313"|"5-Angel Rios "|4|"I.V.A."|"22002IC04013323E"|13490354|0|13490354|104|8
1918|"2022-07-04 15:14:56.319"|"5-Angel Rios "|5|"CANON INFORMATICO"|"4225929"|225127|225127|0|104|9
1919|"2022-07-04 15:14:56.323"|"5-Angel Rios "|6|"FOTOCOPIAS"|"004-003-0027775"|42000|38181|3818|104|12
1920|"2022-07-04 15:14:56.336"|"5-Angel Rios "|7|"TASA PORTUARIA"|"001-034-0043675"|2208513|2007739|200773|104|14
1921|"2022-07-04 15:14:56.339"|"5-Angel Rios "|8|"CDAP DINAC"|"001-021-0047331"|20600|18727|1872|104|31
1922|"2022-07-04 15:14:56.363"|"5-Angel Rios "|9|"VISACION MRE"|"4225947"|440255|440255|0|104|28
1923|"2022-07-04 15:14:56.376"|"5-Angel Rios "|10|"HON. DESP. S/ LEY 220/93"|"001-001-0002027"|3977600|3616000|361600|104|16
1924|"2022-07-04 15:15:45.998"|"5-Angel Rios "|1|"INDI"|"22002IC04013323E"|30818|30818|0|105|3
1925|"2022-07-04 15:15:46.004"|"5-Angel Rios "|2|"SERVICIO DE VALORACION"|"22002IC04013323E"|668818|668818|0|105|5
1926|"2022-07-04 15:15:46.008"|"5-Angel Rios "|3|"IRACIS GENERAL 700"|"22002IC04013323E"|539614|539614|0|105|7
1927|"2022-07-04 15:15:46.011"|"5-Angel Rios "|4|"I.V.A."|"22002IC04013323E"|13490354|0|13490354|105|8
1928|"2022-07-04 15:15:46.018"|"5-Angel Rios "|5|"CANON INFORMATICO"|"4225929"|225127|225127|0|105|9
1929|"2022-07-04 15:15:46.02"|"5-Angel Rios "|6|"FOTOCOPIAS"|"004-003-0027775"|42000|38181|3818|105|12
1930|"2022-07-04 15:15:46.03"|"5-Angel Rios "|7|"TASA PORTUARIA"|"001-034-0043675"|2208513|2007739|200773|105|14
1931|"2022-07-04 15:15:46.041"|"5-Angel Rios "|8|"CDAP DINAC"|"001-021-0047331"|20600|18727|1872|105|31
1932|"2022-07-04 15:15:46.046"|"5-Angel Rios "|9|"VISACION MRE"|"4225947"|440255|440255|0|105|28
1933|"2022-07-04 15:15:46.05"|"5-Angel Rios "|10|"HON. DESP. S/ LEY 220/93"|"001-001-0002027"|3977600|3616000|361600|105|16
1934|"2022-07-04 15:21:07.519"|"5-Angel Rios "|1|"INDI"|"22018EC01001795Y"|0|0|0|106|3
1935|"2022-07-04 15:21:07.526"|"5-Angel Rios "|2|"I.S.C."|"22018EC01001795Y"|0|0|0|106|4
1936|"2022-07-04 15:21:07.531"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22018EC01001795Y"|0|0|0|106|5
1937|"2022-07-04 15:21:07.538"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22018EC01001795Y"|0|0|0|106|7
1938|"2022-07-04 15:21:07.542"|"5-Angel Rios "|5|"I.V.A. TURISMO "|"22018EC01001795Y"|0|0|0|106|26
1939|"2022-07-04 15:21:07.552"|"5-Angel Rios "|6|"CANON INFORMATICO"|"4221767"|220127|220127|0|106|9
1940|"2022-07-04 15:21:07.556"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-001-0008953"|50000|45454|4545|106|12
1941|"2022-07-04 15:21:07.56"|"5-Angel Rios "|8|"TASA MIC CO"|"1867242"|92451|92051|400|106|29
3837|"2022-10-19 13:49:23.152"|"5-Angel Rios "|14|"GASTO ADMIN."|"x"|0|0|0|235|17
1942|"2022-07-04 15:21:07.566"|"5-Angel Rios "|9|"TASA UIP CO"|"002-002-0008139"|88051|88051|0|106|30
1943|"2022-07-04 15:21:07.573"|"5-Angel Rios "|10|"HON. DESP. S/ LEY 220/93"|"001-001-0002024"|3199320|2908472|290847|106|16
1944|"2022-07-04 15:23:16.813"|"5-Angel Rios "|1|"INDI"|"22018EC01001795Y"|0|0|0|107|3
1945|"2022-07-04 15:23:16.819"|"5-Angel Rios "|2|"I.S.C."|"22018EC01001795Y"|0|0|0|107|4
1946|"2022-07-04 15:23:16.824"|"5-Angel Rios "|3|"SERVICIO DE VALORACION"|"22018EC01001795Y"|0|0|0|107|5
1947|"2022-07-04 15:23:16.829"|"5-Angel Rios "|4|"IRACIS GENERAL 700"|"22018EC01001795Y"|0|0|0|107|7
1948|"2022-07-04 15:23:16.834"|"5-Angel Rios "|5|"I.V.A. TURISMO "|"22018EC01001795Y"|0|0|0|107|26
1949|"2022-07-04 15:23:16.839"|"5-Angel Rios "|6|"CANON INFORMATICO"|"4221767"|220127|220127|0|107|9
1950|"2022-07-04 15:23:16.843"|"5-Angel Rios "|7|"FOTOCOPIAS"|"001-001-0008953"|50000|45454|4545|107|12
1951|"2022-07-04 15:23:16.849"|"5-Angel Rios "|8|"TASA MIC CO"|"1867242"|92451|92051|400|107|29
1952|"2022-07-04 15:23:16.854"|"5-Angel Rios "|9|"TASA UIP CO"|"002-002-0008139"|88051|88051|0|107|30
1953|"2022-07-04 15:23:16.858"|"5-Angel Rios "|10|"HON. DESP. S/ LEY 220/93"|"001-001-0002024"|3199320|2908472|290847|107|16
1954|"2022-07-05 13:59:06.268"|"5-Angel Rios "|1|"INDI"|"22018EC01001851H"|0|0|0|108|3
1955|"2022-07-05 13:59:06.276"|"5-Angel Rios "|2|"SERVICIO DE VALORACION"|"22018EC01001851H"|0|0|0|108|5
1956|"2022-07-05 13:59:06.282"|"5-Angel Rios "|3|"IRACIS GENERAL 700"|"22018EC01001851H"|0|0|0|108|7
1957|"2022-07-05 13:59:06.293"|"5-Angel Rios "|4|"I.V.A."|"22018EC01001851H"|0|0|0|108|8
1958|"2022-07-05 13:59:06.298"|"5-Angel Rios "|5|"CANON INFORMATICO"|"4244907"|245222|245222|0|108|9
